id,name,id_2,startDay,startTime,endDay,endTime,Car,Hov2,Hov3,Truck,Motorcycle,Rv,ablePri2AxlesAuto,ablePri3AxlesAuto,ablePri4AxlesAuto,ablePri2AxlesDualTire,ablePri3AxlesDualTire,ablePri4AxlesDualTire,ablePri2AxlesTNC,ablePri2AxlesTNCPool,ablePri2AxlesTaxi,ablePri2AxlesTaxiPool,ableSec2AxlesAuto,ableSec3AxlesAuto,ableSec4AxlesAuto,ableSec2AxlesDualTire,ableSec3AxlesDualTire,ableSec4AxlesDualTire,ableSec2AxlesTNC,ableSec2AxlesTNCPool,ableSec2AxlesTaxi,ableSec2AxlesTaxiPool,able22AxlesAuto,able23AxlesAuto,road,date
1040000,Montgomery,-1,Monday,05:00:00,Wednesday,10:00:00,1.4,1.4,1.4,2.95,1.4,1.4,127,52,23,13,212,225,255,205,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,Alabama River Parkway,01-12-1955
1040010,Black,-1,Monday,10:00:00,Friday,15:00:00,1.4,1.4,1.4,2.95,1.4,1.4,119,59,31,13,223,211,212,237,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,Black Warrior Parkway,01-11-1955
1040020,Emerald,-1,Thursday,15:00:00,Friday,19:00:00,1.65,1.65,1.65,3.45,1.65,1.65,126,57,31,14,200,210,231,240,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,Emerald Mountain Expressway,04-12-1955
1040030,Foley,-1,Monday,19:00:00,Friday,23:59:59,2.75,2.75,2.75,2.75,2.75,2.75,128,64,32,16,221,252,226,221,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,Foley Beach Express,01-12-1955
1530000,Antioch,-1,Saturday,00:00:00,Sunday,23:59:59,6,6,6,6,6,6,103,52,25,10,254,209,228,236,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 160,01-12-1955
1530000,Antioch,-1,Saturday,00:00:00,Sunday,23:59:59,6,3,3,6,3,6,103,52,25,10,254,209,228,236,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 160,01-11-1955
1530000,Antioch,-1,Monday,05:00:00,Wednesday,10:00:00,6,6,6,6,6,6,127,52,23,13,212,225,255,205,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 160,04-12-1955
1530000,Antioch,-1,Monday,10:00:00,Friday,15:00:00,6,3,3,6,3,6,119,59,31,13,223,211,212,237,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 160,01-12-1955
1530000,Antioch,-1,Thursday,15:00:00,Friday,19:00:00,6,6,6,6,6,6,126,57,31,14,200,210,231,240,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 160,01-11-1955
1530002,Carquinez,-1,Monday,19:00:00,Friday,23:59:59,6,6,6,6,6,6,128,64,32,16,221,252,226,221,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,I-80,01-12-1955
1530002,Carquinez,-1,Saturday,00:00:00,Sunday,23:59:59,6,3,3,6,3,6,115,63,29,12,231,248,227,207,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,I-80,01-11-1955
1530002,Carquinez,-1,Monday,00:00:00,Friday,05:00:00,6,6,6,6,6,6,123,58,25,11,202,255,219,248,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,I-80,04-12-1955
1530002,Carquinez,-1,Monday,05:00:00,Friday,10:00:00,6,3,3,6,3,6,126,59,29,13,237,254,231,222,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,I-80,01-12-1955
1530002,Carquinez,-1,Monday,10:00:00,Friday,15:00:00,6,6,6,6,6,6,126,53,26,12,245,238,200,209,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,I-80,01-11-1955
1530004,Dumbarton,-1,Tuesday,15:00:00,Saturday,19:00:00,6,6,6,6,6,6,119,64,28,15,235,243,224,204,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 84,01-12-1955
1530004,Dumbarton,-1,Monday,15:00:00,Friday,19:00:00,6,3,3,6,3,6,119,64,28,15,235,243,224,204,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 84,01-11-1955
1530004,Dumbarton,-1,Monday,19:00:00,Friday,23:59:59,6,6,6,6,6,6,128,64,32,16,223,217,203,229,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 84,04-12-1955
1530004,Dumbarton,-1,Saturday,00:00:00,Sunday,23:59:59,6,3,3,6,3,6,117,57,29,10,220,253,200,236,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 84,01-12-1955
1530004,Dumbarton,-1,Monday,00:00:00,Friday,05:00:00,6,6,6,6,6,6,126,52,30,12,249,213,222,214,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 84,01-11-1955
1530010,San,-1,Monday,05:00:00,Tuesday,10:00:00,6,6,6,6,6,6,110,56,31,13,205,239,200,255,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 92,01-12-1955
1530010,San,-1,Wednesday,10:00:00,Friday,15:00:00,6,3,3,6,3,6,105,53,23,16,232,251,242,239,8,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 92,01-11-1955
1530010,San,-1,Monday,15:00:00,Friday,19:00:00,6,6,6,6,6,6,127,56,24,15,212,236,247,225,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 92,04-12-1955
1530010,San,-1,Monday,19:00:00,Friday,23:59:59,6,3,3,6,3,6,119,60,26,16,239,249,224,202,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 92,01-12-1955
1530010,San,-1,Saturday,00:00:00,Sunday,23:59:59,6,6,6,6,6,6,,64,32,16,221,213,211,215,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 92,01-11-1955
1530012,Richmond-San,-1,Monday,00:00:00,Friday,05:00:00,6,6,6,6,6,6,123,50,21,16,208,230,220,231,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,I-580,01-12-1955
1530012,Richmond-San,-1,Monday,05:00:00,Friday,10:00:00,6,3,3,6,3,6,119,57,31,10,210,201,250,243,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,I-580,01-11-1955
1530012,Richmond-San,-1,Monday,10:00:00,Friday,15:00:00,6,6,6,6,6,6,106,54,31,13,240,211,218,200,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,I-580,04-12-1955
1530012,Richmond-San,-1,Monday,15:00:00,Friday,19:00:00,6,3,3,6,3,6,,64,32,16,240,228,241,234,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,I-580,01-12-1955
1530012,Richmond-San,-1,Monday,19:00:00,Friday,23:59:59,6,6,6,6,6,6,110,57,30,13,254,205,250,216,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,I-580,01-11-1955
1530013,Benicia,-1,Saturday,00:00:00,Sunday,23:59:59,6,6,6,6,6,6,103,52,25,10,254,209,228,236,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,I-680,01-12-1955
1530013,Benicia,-1,Saturday,00:00:00,Sunday,23:59:59,6,3,3,6,3,6,103,52,25,10,254,209,228,236,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,I-680,01-11-1955
1530013,Benicia,-1,Monday,05:00:00,Wednesday,10:00:00,6,6,6,6,6,6,127,52,23,13,212,225,255,205,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,I-680,04-12-1955
1530013,Benicia,-1,Monday,10:00:00,Friday,15:00:00,6,3,3,6,3,6,119,59,31,13,223,211,212,237,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,I-680,01-12-1955
1530013,Benicia,-1,Thursday,15:00:00,Friday,19:00:00,6,6,6,6,6,6,126,57,31,14,200,210,231,240,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,I-680,01-11-1955
1530011,Oakland,-1,Monday,19:00:00,Friday,23:59:59,5,5,5,5,5,5,128,64,32,16,221,252,226,221,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,I-80,01-12-1955
1530011,Oakland,-1,Saturday,00:00:00,Sunday,23:59:59,7,3,3,7,3,7,115,63,29,12,231,248,227,207,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,I-80,01-11-1955
1530011,Oakland,-1,Monday,00:00:00,Friday,05:00:00,5,5,5,5,5,5,123,58,25,11,202,255,219,248,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,I-80,04-12-1955
1530011,Oakland,-1,Monday,05:00:00,Friday,10:00:00,7,3,3,7,3,7,126,59,29,13,237,254,231,222,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,I-80,01-12-1955
1530011,Oakland,-1,Monday,10:00:00,Friday,15:00:00,5,5,5,5,5,5,126,53,26,12,245,238,200,209,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,I-80,01-11-1955
1530011,Oakland,-1,Tuesday,15:00:00,Saturday,19:00:00,6,6,6,6,6,6,119,64,28,15,235,243,224,204,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,I-80,04-12-1955
1530006,Golden,-1,Monday,15:00:00,Friday,19:00:00,7.7,7.7,7.7,7.7,7.7,7.7,119,64,28,15,235,243,224,204,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,SR 101,01-12-1955
1530006,Golden,-1,Monday,19:00:00,Friday,23:59:59,7.7,5.7,5.7,7.7,7.7,7.7,128,64,32,16,223,217,203,229,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 101,01-11-1955
1530006,Golden,-1,Saturday,00:00:00,Sunday,23:59:59,7.7,7.7,7.7,7.7,7.7,7.7,117,57,29,10,220,253,200,236,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,SR 101,04-12-1955
